text,score
"Niveles de retraso mental: 

— Bajo.
— Medio.
— Alto.
— Elevado.
— Regresar con tu ex.",1
"—Vamos Luke desenfunda tu sable, demuestra tu odio, que perteneces al lado oscuro
—Señor súbase los pantalones o llamo a seguridad.
—JAJAJA.",0
"- ¿Te ofrezco algo?, ¿Agua, café, mi corazón, mi vida entera?
-Agua está bien
-Pero yo creí que...
- ¡AGUA DIJE!",0
"—Buenas don Pepe, ¿me vende un litro de leche?
—¿Entera?
—No, si quiere tómese un vasito pinche viejo abusivo...",3
#20CosasQueHacerAntesDeMorir: Enseñarles la diferencia entre: -Hay de haber -Ahí de lugar -Ay de exclamar - Ai se eu te pego.,2
Leí que la falta de sexo trae consigo una notable mejora en el léxico. Me quedo absorto ante tal afirmación carente de raciocinio.,4
Te quiero pero #YoTan Twitter y tú tan Facebook.,0
"-El alcohol es un veneno. –Si es un veneno, ¿Por qué lo tomas? -Porque hay cosas dentro de mi que necesito matar. -Charlie Sheen",3
"Cambié mi contraseña de Twitter por ''incorrecta'', si se me olvida, twitter me la recordará: Su contraseña es ''incorrecta''. Soy una genio",2
estoy mas en twitter que en clase (en clase),2
Un piano me caería excelente en estos momentos.,3
"— ¿Cómo va la dieta? 

— Me la comí.",1
WhatsApp cayó varias veces en 2015 y vos todavía no caes que nadie te soporta.,0
"- Hijo ¿compraste una iPad?

- No ¿Por qué? 

- Entonces ¿Por qué traes esa ""Tableta sin Teclas"" Jajajá!

- Ya Mamá, deja a mi novia en paz!",0
"Los hombres solo le vemos las nalgas a otras mujeres solo para decir: ""Ah, están más bonitas las de mi novia"". Y ustedes haciendo un drama.",2
"Soy virgen, lo juro por mis dos hijos!",1
"—Bienvenido a los X-Men, ¿cuál es tu poder? 
—Creo regresaré con mi Ex
—Muy bien, te llamaremos «Bestia».",1
"–¿Tiene pastillas para la diarrea? –No. –Ok, deme un rollo de papel higiénico :(",2
"Que te pongan una vacuna y gritar: ""La base de datos de virus ha sido actualizada""",1
"+quiero un 00:00?
- y yo quiero que te vallas ala concha de tu madre.",0
"—Hola linda, ¿Por qué tan sola? —Es que me vine a tirar un pedo.",2
Madurar es dejar de creer que el profesor Jirafales sólo entraba a tomar una tacita de café #XD,3
¿Que por qué no tengo tatuajes? ¿Acaso le pondrías una calcomanía a un Lamborghini?,1
"—¿Y Thomas? —No, yo no tomo. —No, ¿Que si Thomas vino? —No me gusta el vino. —¡No! ¡¿Que si llegó Thomas?! —No, no tomaré ni aunque llegues.",2
"¿En que se parecen un ginecólogo y un camarero?
En que los dos trabajan donde los demas se divierten.
#Chistes #H...",3
"""Oye we ¿entonces a qué berga vienes a la escuela?""

—Yo, cuando alguien no tiene los apuntes que necesito.",0
4 etapas de la vida: 1- Creer en Santa Claus. 2- No creer en Santa Claus. 3- Ser Santa Claus. 4- Parecerse a Santa Claus,1
"—Buenas tardes, vengo a que me haga un tatuaje.
—¿De qué?
—De tres tristes tigres tragando trigo.
—¿Dónde?
—En un trigal.",4
"—Mamá, me corté el dedo.
—Chúpatelo, hijo.
—No lo encuentro. 😭",2
Enamorado yo?... JAJAJJAJAJA que me haya comprado un blackberry porque me pidio mi pin no tiene nada que ver.,0
-¡Policía! Dos chicas se están peleando por mí -¿Y cuál es el problema? -Es que va ganando la gorda!,2
Teníamos una farmacia pero la cerramos porque no teníamos mas remedio. #fb,4
"—Lo que pasa en Las Vegas, se queda en Las Vegas.
—Nunca hemos estado en Las Vegas.
—Esa es la actitud.",3
"#chiste ‎- ‎-¿Eres tartamudo?
No, no , no , no, pe, pen, pendejo. Hablo en remix #chistes RT.",2
Pasa una mujer y jaimito le dice: oye te dolio? -Que cosa? -Cuando te caiste del cielo! -Ay q lindo -Noo es q te quedo la cara vuelta mierd@,1
¿Tu? ¿Gustarme? JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JÁ Tengo que disimular un poco mas.,2
"Estaba viendo Netflix tranquilamente, hasta que recordé todo lo que tengo por hacer, ahora estoy viendo Netflix estresadamente.",2
"Mi amor, si me dejas me mato... Me mato una vaca, un chancho, 10 gallinas, compro 3 cajas de cerveza y hago una fiesta!",4
"— ¡Mamá Mamá! ¿la luz se traga?.
— No ¿por qué?. 
— Es que mi Papá le está diciendo a la sirvienta ""apaga la luz y trágatela toda"".",0
"Cada vez que estoy pasando por momentos difíciles me pregunto ""¿Qué haría Jesús en ésta situación?"" Después me acuesto y me duermo tres días",2
"el pecado que cometió lamujer en el paraíso debio pagar con sangre, Dios fue bondadoso y le permitió que le pagaran en cómodas cuotas pormes",0
"- El otro día ví a tu suegra y .....
- ¡Alto ahí! se dice ""madre política""
- Pero si la política es una mierda.
-...",0
"#Chiste Te amo
- ¿En serio? Que casualidad!
- ¿Por qué? -Porque Yo También Me Amo ♡  #chistes RT.",1
"Si yo fuera presidente haria pintar la casa de gobierno de celeste , porque soy varon  #chistes #humor",1
"Hijo, Eres Gay?
- No Papá, Yo Soy Una Princesa! #XD #JAJAJA #RT",2
"Ésta cuenta tiene altos estándares de calidad, si algún tuit no es de su agrado, inmediatamente nos robamos otro.",1
Dos carpinteros entablando una conversación...,2
"¿Tenés un mapa? -DE QUÉ? -De tus ojos, porque si no me pierdo en tu mirada - AYYY EN SERIO? -Naa era mentira, físico-político de América #XD",0
"—¡A UNA MUJER JAMÁS SE LE LEVANTA LA MANO!
—Pero maestra, dijo que si teníamos dudas levantáram...
—MALDITO CERDO OPRESOR ¡VIVA LA PANOCHA!",1
"—¡¡HIJO TE COMPRE BOLETOS PARA LA PELÍCULA DEL CAPITÁN MARICA!! 

—JAJAJAJÁ es “Capitán América”, abuelo.",0
"""Dejen de inventar frases que yo no dije, putos."" —Bob Marley.",1
"No se que dura menos, si la bateria de mi celular o yo estudiando.",2
"Doctor, ¿cuanto me queda de vida? - Diez... - Diez qué? - Diez, nueve, ocho, siete... #humortico",4
"¿Cupido qué onda? 

¿Te hiciste un jugo con mi media naranja?",2
1er acto Muere 1 espermatozoide 2do acto Mueren 100 espermatozoides 3er acto Mueren 1000 espermatozoides¿Como se llama la obra?El Sementerio,0
"—Tengo el nombre más corto del mundo, me llamo O.
—El mío es más corto, me llamo Casio.
—Yo les gano, me llamo Nicasio.",2
"—Mamá, ¿has visto la marihuana que tenía en mi cuarto? —No hijo, estoy en la cocina espantando unicornios para que no se paren en la comida.",2
"—Mijo, ¿tan grande y todavía sigues viendo a Peppa la cerda?

—¡MAMÁ ESTOY HABLANDO CON MI NOVIA POR SKYPE!

—JAJA DILE QUE SALTE EN EL LODO",0
"La frase ""No eres tu, soy yo"" viene del latín ""Me Gusta Alguien Más""",1
"— ¿Aquí es la reunión para personas impuntuales? — Ops, fue ayer.",3
Pasa cupido y me dice: OLEEEEEEEE,1
"Si mi celular fuera tan inteligente como dicen, pondría un mini-paracaídas antes de caerse al suelo.",3
Send nudes para saber si llegaste bien a tu casa.,1
"Fui a McDonalds y el cajero me preguntó ""¿Le pongo salsa?"", dije que sí y nos pusimos a bailar mientras la gente aplaudía. Fue precioso.",1
"Esposo: Tengo algo que decirte. Esposa:  ¡Yo también, digámoslo a la cuenta de 3... 1, 2 y 3! - ESTOY EMBARAZADA! - SOY ESTERIL!",0
"No es por presumir, pero soy buenísimo en la cama... ¡Puedo durar horas y horas durmiendo!",2
Algún día les voy a contar del Boludo que desayuna café con empanadas. Ahora no porque me cago encima. Me cayó mal el café con empanadas.,0
"El te negro ayuda a bajar de peso, 
el te de limón cura la gripe y 
el ""te vas a la mierda"", alivia el estrés.",0
-Mamá - ¿Qué? - ¡Te quiero mucho! -¡No tengo dinero!.,0
Mas contenta que suegra estudiando brujería! xD,1
"¡Tengo que estudiar!, debo estudiar, debo estutir, debo stutwi, debo eswitear, debo stwitear, debo twitear... Sí ¡Debo twittear!",3
"—Uy ¿Quién pidió pollo?
—Señor, deje de hacerse el pendejo y pagueme el domicilio!",0
"Oye, ¿A ti te resulta difícil tomar decisiones? -Mmmm, sí y no.",2
"—Puta.
—¡¿QUEEÉ DIJISTE?!
—Puta sorda.",2
la gente perdida se deberian tatuar brujulas guau,1
"Jesús te ama, tu ex no.",2
"Dios inventó las letras, el diablo los números, #YDijoElKarma vamos a combinarlos y así fue como nació el Algebra.",0
¡Maldita distancia! ¿Por qué el enchufe del cargador está tan lejos de mi cama? :(,2
"—Hijo, Feliz navidad —Mamá, sabes que no me gusta la navidad —Ah, ¿Entonces qué hago con este iPhone 5s? —Belén, campanas de belén.",0
"Danos hoy el tweet de cada día
Perdona nuestros Unfollows",0
