text,score
"- ¿Qué hace un boli Bic en el aire?
.... AeroBic.",1
"Si un gallego te guiña un ojo, ¿es un galleguiño?",1
"- ¿Cómo se dice pelo sucio en chino?
Chin cham pu.",1
"- ¿Que hace un perro con un taladro?
- Taladrando",1
"¿De qué se murió el osito?
De tous.",0
"¿Qué le dice una cereza a un espejo?
- ¿Zere eza?",1
"- ¿Qué hace un mudo bailando? 
- Una mudanza",1
"- Soy Celíaca 
- Encantado, yo Antoniaco",1
"¿Cómo se dice plagio en chino?
 Telescopio",1
"–Cariño, ¿me engañas con otra?
–Vale.",1
"-Me siento solo.
-Yo también, sentarse es fácil.",1
"- Capital de España?
- La mayor parte en Suiza.",1
Falto al colegio y se van de excursión a Disney :(,0
Al perderte gané todo 💚,0
Extraño tu voz😭,0
Maluma se ve muuuuy guapo así calvito 🤤,0
Me extirparía los ovaries la concha de la lora,0
Buenos días mis calores y caloras,0
"Dude YA LLEGA !!!, quiero tenerte aquí!!!",0
Lo prohibido siempre tiene un sabor especial.,0
Gooool,0
Tanto muslo y tan poca cintura por la cresta,0
Muchas veces la flojera puede mas qué el hambre.,0
"te stalkeo, siempre",0
YA NOS ESTÁN ACUCHILLANDO,0
La sensibilidad al palo 🤦🏻‍♀️😣,0
Un día sos joven y al otro tomas mates solo,0
"Quédate con el que te diga: ""Amo tu pancita"".",0
"""Me están dejando de importar muchas cosas.""",0
“na cidade lunar”,0
Linda tarde para adoptar una llamada perdida,0
“Me siento una rata” ATTE: Mickey Mouse #XD #RT,1
La siesta que dormiría con vos,0
Vivo más en el taller que en mi casa..🤦🏻‍♀️🥺,0
Buenos días mis pequeños saltamontes y saltamontas,0
sólo salgo con gente q tiene nombres lindos,0
"Demostrar, porque decir dice cualquiera.",0
La almohada me está llamando,0
La anciedad que manejo,0
"Estoy vivo, pero no lo recomiendo.",0
"Vístete de negro, ya se te murió tu pendejo.",0
Y todo se empieza a ver diferente ...,0
En los hoteles de Hawaii no te hospedas; te alohas,1
Todo(s) vuelve(n),0
Viernes con V de Vayan a chingar a su madre todos.,0
"—¿Me engañas con otra? —No, con la de siempre.",1
"""Que rico coges""

—Yo a la vida.",1
"Todo iba perfecto hasta que dijo ""en ante""... 😩",0
Creí que tenia personalidad xd,0
"-No 
-Te sirvió el tratamiento contra la ansiedad?",1
"Yo se lo debo todo a mi madre...
es prestamista",1
yo soy insobornable por poco dinero...,1
"No éramos felices, pero éramos.",0
"""Te extraño pero ni ganas de molestarte.""",0
Todo lo quiero resolver tomando agua.,0
"no sé q tenes, pero me tenes como queres",0
Love is in the air...(8),0
Vamos Bélgica!!! Todos somos belgas,0
Una música más de mierda no pueden escuchar no,0
LUNES DE BUENAS VIBRAS PARA TODOS,0
"Física, te detesto.",0
"""Achille Lauro""",0
Todo mi apoyo a la provincia rebelde de Uruguay.,0
Feliz día de la madre!!!! :),0
El amor es ciego. Practica braille con tu novia.,1
"Amiga, es noviembre, ya no adelgazamos.",0
El boxeador tuvo un hijo y lo llamó Welter,1
Ir a 200 km por hora es A MAXIMA VELOCIDAD,0
Ni encabronada estoy,0
Puta merda,0
Soy mas vato que los vatos.,0
"Nota mental: BASTA DE LLEVAR PLATA ""POR LAS DUDAS""",0
Que horrible sentirse gede lacon,0
en donde me estoy metiendoooooOo,0
Quince de cada diez personas me cae mal.,0
He ganado en Apex en mi segunda partida...,0
"Amor sin sexo, pizza sin queso.",0
Lo más cool de Pamplona es el frío,0
boxaxa476023,0
Hoy es mejor amar que ser Amado,0
ahora resulta 🙄🙊,0
#MorenaConMaduro tengo miedo,0
"Mmmmmmmmmm
Dijo la muda",0
#MiVidaSeBasaEn buscar algo que haga reír,0
@rtve ¿Qué ha pasado con “Código final”?,0
#YoApoyoAThelma THELMA PRESIDENTE¡¡,0
estoy cansado...,0
Es más mío lo que sueño que lo que toco.,0
Adiós Emilio Disi,0
HOL #TWITTEROS !!! FELIZ INICIO DE SEMANA :),0
Eres un amor Salito.❤️,0
Entre solteros nos olemos ajajaaa,0
Ta loca la comadrejjjjjja,0
Siempre llevando ventaja😆,0
¿Quién es Baradit?,0
"Me dijeron ""nunca te haría eso"" y me lo hicieron.",0
¿Cómo se dice BESO en inglés?,0
Liberdade pro dede !! 😭😢😢🔐,0
Todo a su debido tiempo! 💪,0
"Necesito consuelo, helpme",0
Las heridas que no se ven son las más profundas.,0
Tengo ex amistades que me alegro de haber perdido.,0
"""Ni en un día se quiere, ni en dos se olvida"".",0
TE QUIERO CUANDO vemos series,0
"-Hola, ¿cómo estás? Hace rato no te quiero.",0
¿Quien esperabas que ganara OT? #OTAskMarilia,0
Keep calm and Rompele su Madre!,0
"Me la paso llorando, re pajera soy",0
La del 30 🤣,0
"Tengo la cabeza llena de ""ojalá""",0
intenté arreglarte a vos y me rompí a mí,0
"""Te piden perdón cuando el daño ya esta hecho.""",0
Weno ahora unas 6 horas de siesta y estamos bien,0
Uno puede ser feo pero no mal polvo 😌😏,0
Algún dia voy a matar a mi hermano lo juro,0
viernes con V de veni chupala,0
Siempre mostrar el orto nunca inmostrar ahre,0
Depresión: Exceso de pasado.,0
Puta tengo reunión de Avon,0
quisiera apagarme un rato y no pensar en más nada,0
"""Palermo , ponete un GPS"" #chistes",1
Siempre quise ser el primero. (Juan Pablo II) #fb,1
¿Qué hace Ozuna jugando de 9 en Brasil?,0
"Solo voy con mi pena, sola va mi condena 🎶",0
Las mujeres y su don de enterarse de todo.,0
¿Existían los condones en la época de Salas?,0
PARAGUAY NO TE CONVIERTAS EN VENEZUELA,0
#TwitterOff,0
"Mi peso ideal es el de Nick Jonás, encima de mi.",0
"Tienes flow?.
.
-Soy cojo hijoputa!.",1
#EnApipilpark no hay wifi :(,0
El ultimo como dicen todes,0
"2 palabras, 6 letras, 1 perfección: Mi mamá.",0
sacate todo q tenemos q hablar,1
"""Morder también es demostrar amor.""",0
#TeCreíaPero mejor ni te pelo 🙊,0
"""Falcioni devolvele la cara al perro!!"" #chistes",0
Despeinada siempre🤦🏻‍♀️,0
"Dios mio, Giorgina Mazzeo no puede estar tan rica.",0
Me duele el brazo todavía,0
"posta q son todos iguales, no se salva ninguno",0
Mi fantasía sexual es dormir todo invierno con vos,0
Buenos días mis corazones y corazonas,0
Como estaaaaan Chimuelaasssss ♥️,0
Buenos días mis seres y seras queridos,0
HUACHICOL ME ON MY CELL PHONE 🎵,0
Me gano con la cédula jajaja.,0
Se acabó la mor,0
Habrá boda en la fam!!!,0
"Saqué otro credito.
 El deber me llama",0
"Querés quedarte en el paraiso?
no manzana..",0
¿Ya será hora de robarle los tuits al más pendejo?,0
"Sergio Denis es idéntico a mi abuela.
Kedesirles.",0
Gracias @Chechobianchi por el retuit 🙄,0
"Quiero cambiarme el nombre del lol, alguna idea?",0
Fav y te digo si follamos por MD,0
@oexyuto ¿Tas molesto conmigo?,0
"French poodle, lentes oscuros, joto seguro.",0
Un canto más del zorzal a las 4 AM y me mudo,0
"¡¡¡Es increíble! Mis zapatos conocen China, yo no.",1
Lo bueno es que mañana es lunes.,0
Me acaban de dar un noticiaaaa perrona 🤩,0
"El que se ríe roto, vale doble.",0
necesito seguidores :),0
"""Amarás a tu prójimo como a ti mismo""... ¡¿Tanto?!",0
caraca que frio,0
Quien me duerme de una trompada?,0
¿Bonito? Bonito es pasar todo el día juntos.,0
Estoy tan seco que hoy quise escupir... y silbé,1
Me saqué los calzones largos,0
"Quieres que hablen bien de ti?

Hazte el muerto.",1
Escucha muñeco,0
cómo porrrrr me gusta puro vato menso,0
"Te estamos esperando con ansias,@hazardeden10 💙",0
"Pues nada, hasta el año que viene.",0
Volví del cosmos a sentarme con mi ego a solas,0
"Luka Modric mejor jugar del 2018.
JAJAJA",0
"#YoALos9Años mi red social se llamaba ""calle"".",0
Mas nervioso que ciega en el ginecologo,1
ME ENLLENÉ,0
#UnChapinTiene mas huevos que un mexicano.,0
una menstruación mas y safo otro año,0
"nooooo ni las gracias le dio, no seas malo",0
*Pisa la alfombra roja*,0
VALVERDE PERRO,0
Buenos días mis tulipanes y tulipanas,0
#MiMamáEsChingonaPor darnos lo mejor en la vida,0
Quiero dejar de estudiar,0
todo en vos es arte,0
Típico: Dormir con el celular al lado de la cama.,0
"metas para el 2019
 
-tener una meta",1
"Lunares en las mujeres, debilidad de los hombres.",0
Malditas decisiones 😑,0
"¿querías mandar a tu suegra al Gran Rex, no ???",0
Yo te freno muy a poquito a poquito,0
"Tu novia, la que grita como mercadera",0
ojalá algún día me presuma jajajaja,0
Que ganas de tomar muchas birras,0
"Twitter, donde mandaste mis replies???",0
"— A veces siento que me ignoras.
—",1
"El 31 es el pedo del año, el 25 fue la previa",0
Un masajista se hace millonario con mi espalda,1
#VideoclipEllaEsDeLasMias que me encanta,0
Amor De Putas y Amistad De Policias No Existe🤭,0
"""Never to talk of oneself is a form of hypocrisy""",0
Dios te ama pero quiere más a Franco.,0
Era mas vago que el sastre de Tarzán,1
YA VA A EMPEZAAAAAAAR RETOÑOSS !! #MasterChefMx,0
&lt;—— no estaba muerta andaba de parranda,0
ñamñam cocadas,0
Estoy enamorado 🙈 ... De todas mis seguidoras 😍,0
¿TAREA??? Umm No conozco ese pokemon. #XD,1
"-que contas? 
+los días que quedan para morirme",0
Aguanta más hambre que piojo en peluca. ,1
¿Cómo se dice … bicicleta en japonés?   KaziMoto. ,1
 ¿Insecto en ruso?   ¡Moshka! ,1
¿Presidente en ruso? ¡Baladín Hablababa! ,1
Está más cortado que la toalla de Fredy Crugger. ,1
 ¿Espejo en chino?      Ahítoy-¡yo! ,1
¿Espejo roto en chino?      Ahítaba-¡yo! ,1
 Es más fácil encontrar una mariposa con aretes.,1
Dura más que un suegro rico.,1
¿Cómo mueren las estrellas? Por sobredosis.,1
Un banano entró a un casino y lo pelaron,1
