"Chiste","Anotación"
"Un hombre entra en un bar y le dice al bartender: ""Voy a tener un vaso de agua con gas"". El bartender le responde: ""Lo siento, pero esto es un bar de agua sin gas...""","1"
"¿Por qué la pizza se fue a terapia? Porque tenía muchas ""dolores"" por dentro.","1"
"Por qué el león se fue del zoo? Porque necesitaba espacio para su ego. Ahora tiene una empresa de consultoría de liderazgo, pero siempre termina devorado por sus competidores...","1"
"¿Por qué los tacos no se casan? ¡Porque siempre están solos en la mesa!","1"
"¿Por qué la vaca es matemática? Porque siempre da leches precisas.","2"
"¿Por qué la computadora entro en depresión? Porque tenía un 0 en su cuenta.","2"
"¿Qué le piden al perro antes de llevarlo al parque? No mordas la gente. ¡No lo hace! Se come la pelota.","1"
"¿Por qué los alumnos de primer curso lloraron al ver a un gato en la escuela? Porque no sabían que era pelado.","1"
"¿Qué come un perro que se siente triste? Una pizza de luto. (Porque llorará).","1"
"¿Por qué la comida se enfadó? Porque estaba ""derretida""... pero luego se calmó porque encontró su calor interior.","1"
"¿Por qué la laptop se fue al psicólogo? Porque tenía un problema de ""conectividad"" en su vida.","3"
"¿Por qué el número 6 se fue del parque? Porque era un ""sexteto"" en su ausencia.","1"
"¿Por qué la pluma iba al médico? Tenía un poco de tinta en la sangre.","1"
"¿Sabes por qué la computadora fue al psicólogo? ¡Porque tenía un virus de ansiedad y estaba sufriendo una crisis de ""reinicio"" total, al final solo quería borrar todos sus problemas, pero como resultado terminó con todas sus memorias.","3"
"¿Por qué los libros de matemáticas siempre están tristes? Porque en el título tienen un signo menos de felicidad.","1"
"¿Por qué el ordenador se entiende mal? Porque tiene poca ""CPU"" en su cabeza.","1"
"¿Por qué el ordenador fue al doctor? Porque tenía un virus.","3"
"¿Por qué la computadora no tiene un amigo? Porque le da virus.","1"
"¿Por qué la pizza se fue a terapia? Porque estaba ""dura de pelar"".","1"
"¿Por qué el pescado fue a terapia? Porque estaba muy descompuesto.","2"
"¿Sabes por qué el astronauta fue al psicólogo? Porque tenía un problema con la gravedad. ¡Eso es todo!","2"
"Tío, ¿sabes por qué la mesa fue al médico? ¡Pues porque tenía una especie de... ""aplastamiento"" en su superficie! (risas)","1"
"¿Por qué la vaca no quería ir al concierto? ¡Porque había oído que iba a ser un ""muy largo""!","1"
"Un hombre entra en un supermercado y se enfrenta a una fila interminable para pagar. ""¿Hay alguna otra fila?"" pregunta el hombre cansado. ""No hay más filas"", responde el cajero con una sonrisa, ""solo tenemos líneas de espera"".","1"
"¿Por qué los estudiantes traen un cuadro a la escuela? Porque quieren hacer un buen papel.","1"
"¿Por qué la vaca se va a terapia? Porque tiene un giro en su vida.","2"
"¿Por qué los científicos del espacio no pueden encontrar la fuente de la música en las estrellas? Porque están escuchando con el lado equivocado de sus cascos. ","1"
"¿Sabes la mejor forma de mantener limpio tu sofá? ¡Simplemente coloca un gato en cada rincón y deja que se encarguen!","1"
"¿Por qué la computadora fue al médico? Por tener un ""bug"" en el sistema.","3"
"¿Por qué la vaca fue a terapia? Porque tenía un problema de ordeño mental. ¡Y al final se dio cuenta que era un cuajo!","1"
"¿Por qué el 1 se peleó con el 0? Porque era un cero tolerancia.","3"
"¿Por qué la sopa es tímida? Porque se ""derrite"" en situaciones sociales.","2"
"¿Por qué la hamburguesa se enfadó? ¡Porque estaba hecha de malas artes!","1"
"Hoy me encontré con un tipo en la calle que decía: ""Vengo huyendo de un grupo de matemáticos"", le pregunté ""¿Qué pasó?"", y él me contestó riendo... ""Me pidieron que fuera el numerador"".","2"
"¿Por qué los números se sienten tristes? Porque siempre tienen decímilos.","1"
"¿Por qué el ordenador lloró? Porque tenía un virus en el corazón.","3"
"¿Por qué la pasta se fue del psicólogo? Porque estaba cansado de estar enrollada.","1"
"¿Por qué las tablas de multiplicar fueron a la terapia? Porque no podrían sumar bien sus problemas.","3"
"¿Por qué la laptop se durmió? Porque estaba agotada de procesar todo.","2"
"¿Por qué el pan no fue a la fiesta de cumpleaños? Porque tenía que ""amasar"" su tiempo libre.","1"
"¿Por qué la tortilla no fue a la fiesta? ¡No quiso tomar el riesgo de romperse!","1"
"¿Por qué la vaca se fue del campo? Para estudiar lecheología. Pero no pudo porque estaba demasiado apurada.","1"
"¿Por qué el iPhone nunca está contento? Porque siempre está cargando con problemas.","2"
"¿Sabes por qué el astronauta no podía dormir? Porque estaba estrellado en su pensamiento. ¡Ja! ","1"
"¿Por qué el pan se fue a terapia? Porque tenía problemas de ""panico""","2"
"¿Por qué la pasta se divierte? Porque siempre está haciendo macarrones.","1"
"¿Por qué los números se sienten tristes? Porque siempre están en negativo.","2"
"¿Sabes por qué la computadora fue al médico? Porque tenía virus en el disco duro ¡y le dieron antibioticum!","2"
"Un hombre entra en una tienda de perros y le dice al dueño: ""Quiero comprar un perro sordo porque quiero aprender a comunicarme con él"".","1"
"¿Por qué el ordenador se deshizo de su relación? Porque era un ""bug"" en la relación.","2"
