text,score
"En una cena, varios de los invitados estaban discutiendo si los hombres o las mujeres eran más dignos de confianza. ""Ninguna mujer"", dijo un hombre, con desprecio, ""puede guardar un secreto"". ""No lo sé"", respondió una invitada rubia. ""He mantenido mi edad en secreto desde que tenía veintiún años"". ""Algún día lo contarás"", insistió el hombre. ""¡No lo creo!"", respondió la rubia. ""Cuando una mujer ha guardado un secreto durante veintisiete años, puede guardarlo para siempre"".",3
"Un día, un policía detiene a una rubia por exceso de velocidad. El policía sale de su coche y le pide a la rubia su licencia. ""Ustedes los policías deberían ponerse de acuerdo. Un día me quitan la licencia y al día siguiente me piden que la muestre"".",3
"Una rubia sospecha que su novio la engaña. Sale y compra una pistola. Va a su apartamento inesperadamente y, efectivamente, abre la puerta y lo encuentra en los brazos de una pelirroja. ¡Bueno, ahora está enfadada! Abre su bolso para sacar la pistola, pero al hacerlo, se siente abrumada por el dolor. Toma la pistola y apunta a su cabeza. El novio grita: ""¡No, cariño, no lo hagas!"" ""Cállate"", dice ella, ""Tú eres el siguiente"".",4
"Una rubia con dos orejas rojas fue a ver a su médico. El médico le preguntó qué le había pasado a las orejas y ella respondió: ""Estaba planchando una camisa y sonó el teléfono, pero en lugar de coger el teléfono, accidentalmente cogí la plancha y me la pegué a la oreja"". ""¡Oh, Dios mío!"", exclamó el médico con incredulidad. ""Pero, ¿qué le pasó a la otra oreja?"" ""¡El imbécil volvió a llamar!""",4
"Queriendo un retrato con el que sorprender a su esposa, un hombre de negocios le pidió a una pintora rubia que le había sido recomendada que lo pintara desnudo. ""No"", dijo la talentosa artista rubia. ""Yo no hago ese tipo de cosas"". ""Pero, ¿y si te duplico el precio?"", suplicó. ""No, lo siento. No lo haré"". ""¿Qué tal si te doy cinco veces lo que normalmente recibes?"" ""Oh, vale"", dijo la artista, ""pero me voy a quedar con los calcetines puestos. Necesito un lugar para poner mis pinceles"".",3
"Una rubia camina por la calle con la blusa abierta, exponiendo uno de sus pechos. Un policía cercano se acerca a ella y le dice: ""Señorita, ¿sabe que podría citarla por exhibicionismo indecente?"" ""¿Por qué, oficial?"", pregunta la rubia. ""Porque su blusa está abierta y su pecho está expuesto"". ""¡Dios mío!"", exclama la rubia, ""¡Debí dejar a mi bebé en el autobús!"".",4
"Una rubia, una morena y una pelirroja corren a la cima de un edificio en llamas. Abajo, unos bomberos sostienen una manta diciéndole a la pelirroja que salte. Cuando la pelirroja salta, los bomberos retiran la manta y ella golpea el hormigón. Cuando los bomberos le piden a la morena que salte, ella salta y de nuevo retiran la manta. Cuando los bomberos le piden a la rubia que salte, ella responde: ""No confío en ustedes, así que simplemente pongan la manta en el suelo y apártense"".",3
"Una rubia, una morena y una pelirroja caminaban por la playa. Una gaviota vuela y le caga encima a la rubia. La morena dice con voz de asco: ""Espera, el baño está justo subiendo la colina, voy a buscar papel higiénico"". Después de que se va, la rubia empieza a reírse. La pelirroja dice: ""¿Qué es tan gracioso?"" La rubia dice: ""Bueno, se supone que las rubias son tan tontas, y mírala. Para cuando vuelva con ese papel higiénico, ¡esa gaviota estará a kilómetros de distancia!""",2
"Una joven rubia está angustiada porque teme que su marido esté teniendo una aventura, así que va a una armería y compra una pistola. Al día siguiente, llega a casa y encuentra a su marido en la cama con una pelirroja guapísima. Ella agarra la pistola y se la pone en la cabeza. El marido salta de la cama, rogándole que no se suicide. Histérica, la rubia responde a su marido: ""Cállate... ¡eres el siguiente!""",4
"Tres chicas caminan por un bosque mágico. De repente, una bruja sale del bosque y les dice: ""Cada una de ustedes debe decir algo bueno sobre sí misma. Si mientes, ¡haré que desaparezcas!"" La primera chica, una morena, dice: ""Creo que soy una persona muy amable y considerada"". *Poof* - desaparece. La segunda chica, pelirroja, dice: ""Creo que soy muy sexy"". *Poof* - también desaparece. La tercera chica, una rubia, dice: ""Bueno, yo creo..."" *Poof* - se ha ido...",3
