text,score
"Ni tiempo hacía de esto, raro Juana",0
"Compre un Libro que decía que iba aprender inglés en 15 pasos, ya llevo caminando 2 cuadras y nada, no lo compren no sirve :( conciertos urgente Alfred",2
q te parece un cafe y documentales sobre asesinos seriales es mi chamuyo inicial tijera,0
Mi esposa tiene un buen físico. (Albert Einstein)  #fb cosita,3
"Mi hermana esta viendo dark y desde la pieza se escucha la música, lpm quiero verla de vuelta por 3ra vez amarillo Viejo Hago",0
No hijuemadre me va a dar un infarto. ratero Cállate Thomas,0
"Como si fuese poco con hollister y abercrombie, ahora usan remeras gucci truchas dios rompen todo Alcohol trajiste",0
"Ventaja de ser daltónico: No hay cubo magico que se te resista
#CHISTES #FRASES normalidad tragedia 🤦🏻‍♂",2
Hay que ser muy hijoputa para empezar una colección de fascículos y terminarla. #Chis arrastrándose,0
#BuenLunes están preparados para una semana excelente? 😜😜😜😜 aguantas colchones,0
Mi mejor momento del día es cuando nunca. LIGAR,1
Típico : 1- No hacer nada. 2- Darte cuenta que tenes mucho que hacer. 3- Intentar organizarte. 4- Agobiarte. 5- Volver al paso 1. podria demostrarlo,2
"«Este pendejo está a punto de terminarse los chicharrones, me voy a dejar ver»

—La bolsa de la salsita Diosa ACABA",1
"Un tipo le dice a su amigo ""hoy me comí una pizza gigante con la corteza más grande que he visto en mi vida"". Su amigo le preguntó qué fue lo peor de eso: respondió que se quedó atrapado debajo. campera pendiente @Aeromexico",1
¿Por qué los niños no deben llevar armas de fuego a la escuela? Porque pueden disparar con la boca y darles a sus compañeros. ¡Y entonces tendrán que hacer un trabajo extra por castigo! Obrador,1
El @el25villero publicó una foto mía en Instagram jajajajaja supuesto Harlem frutas,0
¡Ya! Váyanse a la chingada. Nos vemos en misa a las 7:00 am. baterías funcionan 2acto,0
¿por qué las mujeres estacionan lejos del cordón? Porque los hombres les hicieron creer que esto [-------------------------------] son 20cms aguanto 📻 peligrosa,1
Niña de 16 le dice a una de 6: —¡Los Reyes Magos no existen! Y la de 6 le contesta: —¡LOS DE CREPÚSCULO TAMPOCO! #NBL2013 🤯 🙁,2
A un paso del infierno Galaxy cocodrilo,0
#Andalucía Pacto de perdedores (como diría Casado) de PP + Cs + VOX casados,0
Para qué quieren linda nariz si despues le meten un septum y termina como hocico de vaquillona sandwich jabón Per,0
Me encanta hacer fotos con mi objetivo 50mm 😍📸 es una maraviiiiilla!! Pregúntale,0
El que tiene padrino se bautiza y yo estoy bieeeen bautizado 😉 leggins,0
Por más noches así ❤😍 burro estudias copiando,0
"#Temperatura mínima registrada hoy en #PuertoMontt (#Angelmó) fue de 9.5°C
y en Faro Corona (#Ancud) 9.9°C. Napoleón zoológico",0
"—¿Y POR QUÉ NO PUEDO SALIR EN LA FOTO? ¿ES QUE NO QUIERE QUE LO VEAN CONMIGO? —Porque es la foto para la cedula amor, no se puede —PRETEXTOS supieran feminismo",4
Jajajjaa que envidiosos que son estos cldos whisky Titanic dejaré,0
Mi problema es convivir con el conflicto de un corazón adicto a todo lo que quema Awwww #Hum,0
Casillas se acaba de pedir una semana más de vacaciones en Miami para buscar el balón de Ramires. enferman,3
Amo todas mis amistades son pocas pero son las mejores❤ psicólogos Judas,0
A veces me dan ganas de decir: “que le valga madre señora” pero recuerdo que es mi mamá. babor,0
Que pesadilla quiero que se acabe esto ya Pitbull confundido,0
En las #FamiliasFuertes siempre existía la prima buenota UY,0
Mi viejo esta re enojado conmigo lrpm manzanas caramelos,0
No tengo ni ganas de viajar ahora😝😩 análisis llamaba flota,0
"Poner música en modo aleatorio, empezar a pasar todas hasta encontrar la que te gusta y terminar escuchando las mismas canciones de siempre. coff restaurante",0
"como detectar a pubertos o gente con problemas sexuales, facil: son esas personas que piden los videos de la Susan guau prostitutas jaula",0
"El ruido de un beso no es tan estruendoso como el de un cañón, pero su eco dura mucho más. HIJO enojaste",0
"Tengo fotos en la computadora del año 2013, pensé que había borrado todo desde ese tiempo. 
Putaaaaaahmadre. arrastrándose",0
"1+1= sombrilla o flecha , 2+2= pez, 3+3=8, 4+4= pino, 7+7= triángulo. RT si eres de ese 1% que lo entiende. científicos #Chis",0
tengo que encontrarme con mucha gente que hace banda no veo árabe,0
Me costó y me dolió tanto aprender a estar sola que ahora no sé ni siquiera cómo comportarme con la gente. CO,0
"Cuando acabes una relación, borra todas las fotos de esa persona. No te hará sentir mejor, pero vas a liberar espacio para memes. temita sabado Casa",2
Mi paso por el mundo quedará registrado en las medias que he dejado en los hoteles. reservando acostumbro malditas,3
Y estoy llorando porque me arden un vergo los ojos puta madreeeee rama Abuela Luna,0
Logramos lo que tanto tratábamos de evitar. halloween iPod,0
"- ¿Nivel de inglés?
- Alto. 
- Traduzca ""amarillo"". 
- Yellow. 
- Úselo en una frase. 
- Me da un vaso con mucho yellow por favor? #chistes Lali distrae flipas",1
"Qué bronca me da que la chica de la caja se fije si mi billete es falso, o sea... SI FUERA FALSO COMPRARÍA UN AUTO, UNA CASA, NO POLENTA. ✏ audio #BestRemix",2
"Me toca hacer apuntes de arte toda la mañana y eso significa
CANCIONES DISNEY aplausos _ʃʃ",0
Jajajajaja fuera de lugar █,0
El tren de las nubes sale solo los días nublados? teen Ozuna honor,1
"—¿Qué harás el 14 de febrero?

—Esperar a que sea 15. 🙏🏻",2
"@edufeiok en los htales hay atención gratuita, y métodos anticonceptivos ""gratuitos"" para todas las mujeres @gabrieliezzi @ palomas Perfil",0
Ni las modelos de Victoria’s Secret se creen tanto como las mujeres de hoy con sus “sesiones”. cortante,0
#chiste Toc toc! -Quien es? -La vieja INES! - Ayy la de los calzones al revés? -Nooo! la del arriendo hP! abraaa! #chistes RT promesa caerle Obrador,4
¿Subo otro vídeo en nada? 👍👍👍 Recuerdas remoto Adivina,0
"-Veamos Civil War otra vez!
-No
-Anhelo oxidado diecisiete amanecer horno nueve benigno bienvenida uno vagón de carga
-Listo para obedecer feriados 21",1
#AlgoQueMeVendriaReBien es un fernet con coca bien helado trasero Piensalo,0
"Se acaba OT y caen las bolsas de todo el mundo ¿Casualidad? Probablemente sí, pero ahí lo dejamos. ―",0
Se burlaban de los BlackBerrys y ya ahorita todos publican su PIN. Nemo,0
A ustedes les pasa que quedan de salir con alguien y cuando llega ese minuto como que en verdad no quieres ir? bebida,0
"EXCLUSIVO #TresArriba | Carlos Maglio (ex árbitro): ""No me pareció oportuna, por el momento, la reunión entre el DT de Boca y el presidente"" prostituta obsesionada",0
"Me puse a llorar en el tren sin motivo aparente, necesito dejar de menstruar ya. tráigame",0
"#TengoQueReconocerQue si me caes mal, y te haces el simpático me caes muchísimo peor. Harlem bebes",0
"La gente con problemas mentales no lo presume en internet, de hecho trata de verse lo más normal posible. Tú sólo buscas un poco de atención gastos",0
Dios dame onda verde que me estoy cagando peluquería Superman íbamos,0
"Cuando una mujer te dice ""eres muy lindo"" es porque ya te dio la súper membresía golden platinum deluxe con la que entrarás a la friendzone. 👎",1
"""Ya me voy a dormir"" en realidad significa: ""Voy a estar en mi cama una hora más con mi celular"". Quieren quedando",4
"Si la vida fuera un videojuego, este sería el momento en el que buscaría trucos por internet porque ya no sé qué hacer. ╩",3
¿Qué le dijo el 0 al 8? ¡Que linda cinturita que tienes! Diana rota,3
Tngo ganas de tener tu cuerpo desnudo y hacert el amor yayuuuy bizco canguro tigres,0
No mires hacia atrás porque puedes perder lo que tienes en frente. No dañes tu futuro por estar pensando en el pasado. gemelos Formas,0
"—Eres como un imán. 
—¿Por qué te atraigo? 
—No, porque estás siempre pegada al refrigerador, gorda. 
—Pero... 
—¡GORDA, DIJE! paseo",1
"«Hay que conocer 2 o 3 orugos para poder ver un mariposo»

—La Principesa. tardas UY",0
"Me pregunto que estará haciendo la persona con la que me voy a casar, ojala haya tomado suficiente agua hoy, tkm donde quiera que estes. cuéntale",0
El truco está en poner canciones de cartel de santa en tu casa para que los rateros piensen que también te dedicas a robar. mataron casaron felicito,0
"#MundoAlReves Di no a la droga, hay poca y somos muchos #XD 🔥 diversion",3
"Un acento puede cambiarlo todo
- Sé la clave
- Se la clavé rinda Galatasaray",1
"No es tu amigo, si no te grita estupideces cuando te llama tu madre. Superman",0
"soy de esas personas que cuando ven un video de belleza y está fea la persona que da los tips.... no le creo XD
#perdón conocimos llamaría clitoris",0
Medio Monterrey se despertó por el puto trueno alv leones vendedor #Chiste,0
Hay un vídeo de los simpsons que predijo  la tragedia del avion brasileño. Naces palomas Tinder,0
Todo el mundo esta plantando floresitas yo también quiero :) sorprendido bañando zapato,0
"Yo hace 10 minutos: “Ya me voy a poner a trabajar”.

Yo ahorita: “Mira este meme”. porra sorteos",1
"Una pena dejar a Chiki en el veterinario para una ducha, se asusta mucho pero ya apesta a basura. piojo CULO Genial",0
hay gente que nunca le pasa nada malo. #Hum astronauta ,0
LA VIDA ME DIJO A GRITOS QUE NUNCA TE TUVE Y NUNCA TE PERDÍ Entendieron arrastrándose rama,0
