text,score
La destitución de Toril del Real Madrid Castilla la colgaré como título al lado de las 3 semifinales de Shempions. estómago,0
"—Vas en exceso de velocidad.
—Perdón oficial, tengo 5% de batería y me urge llegar.
—¿Tuitero?
—Sí.
—Sígueme, yo te abro el camino. ㊂ pop existiera",1
Julio Lopez está en el programa de #Lanata!!!! #HumorNegro #NoMeMaten adolescente,0
"Te hubieras quedado, no tengo una muy buena razón, pero habría sido bonito. #poetuit estatura",0
"«Tengo 17 años, la carrera dura 5 años... Eso me vengo graduando relajado a los 22»

—Un pobre primiparo que no sabe lo que está diciendo. PASÓ 24/7 respecto",1
Feliz cumpleaños @QuefishTV que la pases genial Gracias por todo . Enjoy 😊 #CHISTE Tijeras Rápido,0
"-q onda laburas de algo? 
-soy coordinador de viajes de egresados 
-ahh jajaja y q onda laburas de algo? 🙂 #CasoCerrado",1
¿Existían los condones en la época de Salas? Abraham Década Chiste,0
Le cure el empacho a mi vieja y ahora me estoy muriendo CARA Gusta,0
"- ¿Que le dice un chinche a otro chinche?
- Te voy a ser chinchero, yo te quiero 👹 boludes",1
"Pasa rápido el año, eh. 35 de Agosto ya. Pasa volando. probado",0
"-No 
-Te sirvió el tratamiento contra la ansiedad? Aguantás PERSONAL",1
"—¿Cuál es tu posición favorita en la cama?  —Cerca de la pared, para poder usar mi teléfono mientras se está cargando concepto Doña",1
—Oye mama y tu que querías ¿niño o niña?  —Yo solo quería pasar álgebra. #XD SABIA combinación Insomnio,1
"Con este resultado Argentina se cruzaría con Perú...

EN EL AEROPUERTO EN EL VUELO DE REGRESO. #LunesIntratable",1
"""Never to talk of oneself is a form of hypocrisy"" adoptado zapato metí",0
Mas nervioso que ciega en el ginecologo je homosexuales Fergie,1
Típico: Se te ocurren los mejores insultos después que se acaba la pelea. objetivo SEGUIRNOS Rt,1
"‎- Estoy leyendo un libro que se llama ""La honestidad y otros valores""
- Que bueno, ¿dónde lo compraste?
- Lo robé en la librería de aquí al lado. <--- ilusión ajajajajajaajaj",1
"Entra un hombre a la panadería y dice:
- Buenos días, ¿me puede dar usted un “funcionario”?
- ¿Disculpe…?
- Huy perdone, quería decir una “baguette”. dejaría 🔪",1
"Entra un señor en un restaurante, le entregan la carta y lee:
verduras a elegir.
Cuando se le acerca el camarero le pregunta:
¿Qué verduras tienen?
- ¡Espárragos!
Y ¿ qué más?
- ¡Nada mas!
Entonces ¿entre qué puedo elegir?
- ¡Entre si los quiere o no los quiere!. Morata",1
"""Achille Lauro"" Conoces probado Barney",0
"- Soy Celíaca 
- Encantado, yo Antoniaco #FamiliasFuertes",1
"- Papá, ¿cuánto cuesta casarse?
- No tengo ni idea, hijo, ¡todavía no he acabado de pagar las consecuencias! QUIEREN",1
"Un hombre tacaño sube a un taxi y cuando llega le dice el taxista: 
- Son 10€. 
Y el hombre le da 5 y le dice el taxista:
- Oiga le he dicho que son 10€.
- Si pero hemos ido los dos. #FelizMartes aguanto jajajajajajajajajajajajajaja",1
"Los invito a seguir a @BarCampRos, la cuenta oficial del #barcamp en la ciudad de #Rosario. televisión monjas",0
"Llega una rubia a una biblioteca, se dirige a la bibliotecaria gritando:
- Quiero una hamburguesa doble con queso, patatas fritas y cocacola.
- Shhhh, baja la voz, no te has dado cuenta que esto es una biblioteca
- Perdoneme -(susurando)- Me pone una hamburguesa doble con queso.... 🤷🏻‍♀ AHORA",1
"Estaban dos hermanas sentadas en el baile de fin de curso. Una era fea, pero fea fea.
Se acerca un chico a pedirles un baile y dice a la menos fea:
- ¿Bailas?
- ¡No!
- ¿Y eso?
- Eso es mi hermana y tampoco baila. declarar @chistegenialxd tw",1
"- ¿Cómo te las compones para vivir?
- Pues tocando la flauta.
- ¡Si tú no eres músico!
- Tapo un agujero para abrir otro. cuéntale llámame",0
#EstaríaBueno que nos dieran las respuestas a las preguntas de los exámenes un día antes. Romeo,0
Una música más de mierda no pueden escuchar no femenino tigres,0
"- ¿Qué problema hay en comprarse un bumerán nuevo?
- Que hay que tirar el viejo, y tirar el viejo, y tirar el viejo.... @maluma",1
"Durante un atraco a un Banco, después de haber obtenido un buen botín y antes de darse a la fuga, el atracador muy nervioso, pregunta a un rehén: 
- ¿Tú me has visto robar este Banco? El rehén asustado le dice que sí, y el atracador le pega un tiro en la cabeza. Después se vuelve al resto de rehenes apuntándoles y pregunta a dos mujeres y un hombre:
- ¿Me habéis visto robar este Banco? Y el hombre, responde:
- Yo no he visto nada, pero mi mujer y mi suegra no han perdido detalle. lastimar diviJAJAJAJ",1
"¿Cómo hacen el amor los radiólogos? ... Acuéstese, no respire, ya. sacamos",1
"—Papá, ¿me lees un cuento?

—¿Para qué? Si siempre te duermes, pendejo. 🤷🏼‍♂ paseo",1
"¿A tu novia? Protégela como si fuera tu hija, ámala como si fuera tu esposa, y respétala como si fuera tu madre. secretaria cortante speak",0
Entre solteros nos olemos ajajaaa ratero recientes,0
"- Llevamos 65 horas conduciendo ¿No estaremos perdidos manolo?
- Que va, estamos llegando, pregunta a ese señor, ya verás.
- ¿Cómo vamos a Sevilla?
-لصفحة ما سيلهي القارئ عن التركيز mereces simona",1
"Este es un tío que llega a una farmacia y pide algo para la diarrea. El farmacéutico de guardia, que hacía poco que ha empezado a trabajar, se confunde y le da un laxante. 
El hombre sale de la farmacia y se toma el laxante. Inmediatamente empieza a notar los efectos y echa a correr como un descosido hacia su casa. A eso de 200 metros le para un peatón y le pregunta:
- Perdón, ¿Sabe usted donde hay una farmacia?
- Si. Siga la linea amarilla!!! Salmos Cc",1
"Hasta cuando el ser humano sera tan malagradecido,y materialista,asi es q educan a los hijos y estos pierden el sentido d humildad!BastaYa!! Gusta",0
"Comprar un regalo para una mujer es muy difícil, ¿qué más les gusta aparte de jugar con los sentimientos de los hombres? cabezas CARA",0
"Tía Rosario, ¿de donde vienes?
- Del salón de belleza.
- Estaba cerrado, ¿verdad? Bridge",1
Un día eres joven y al otro en vez de tener una caja de condones en la mesita tienes una caja de dormidina. hablándole,0
"Arnaldo viajó a Japón y se compró un par de anteojos de gran tecnología que hacía ver desnudas a todas las mujeres.
Arnaldo se pone los anteojos y empieza a ver desnudas a todas las mujeres... está encantado. Se pone los anteojos, desnudas, se quita los anteojos, vestidas
- ¡Qué maravilla!
Regresó a Bilbao, loco por mostrarle a su mujer la novedad. Cuando llega a la casa, inmediatamente se coloca los anteojos para ver desnuda a su mujer, María.
Abre la puerta y ve a María y a Joaquín, desnudos en el sofá.
Se quita los anteojos, desnudos, se pone los anteojos, desnudos. Se los quita... desnudos, se los pone... desnudos.
- ¡Vaya mierda de anteojos nada mas llegar a Bilbao se rompen! mereces 🤦🏻‍♂ Señorío",1
"- ¿Qué le regaló Batman a su mamá por navidad?
- Una BatiDora. 2y Acto serías",0
"- Perdone, ¿es aquí el examen de jardinería?
- No, se ha equivocado de planta.
- pues si que empiezo bien!!!! caerle guaro Confirmado",1
"- Manolo!!! -grita el jefe de sección- acaso no sabes que esta prohibido beber durante el trabajo!!
- No se preocupe jefe, no estoy trabajando. Casa patética",1
"—Oye ¿por qué tienes brackets?

—Cuando has visto un ferrari sin frenos... PASÓ 💥 encantas",1
"- ¿Cómo se dice pelo sucio en chino?
Chin cham pu. ajajaja míos ═",1
"El Juez le pregunta al ladrón que acababa de hacer de las suyas en una tienda de ropa:
- ¡Pero dígame! ¿Qué no ha pensado en su esposa...en sus hijas?
- Pues la verdad sí pensé su Señoría, pero en la tienda solo había ropa para hombre. Perdon JAJAJAJAJJAJAJAJAJAJAJAJAJJAJAJAJAJAJAJAJAJAJAJAJAJA",1
"El abuelo llama al nieto a escondidas y le dice:
- En la mesita de noche de tu papá hay un frasquito pequeño con unas pastillitas azules que dice Viagra. Si tú me traes una pastillita de esas, sin decirle nada a tu papá, mañana temprano te doy 10 euros.
-¿10 euros, abuelo? Eso es mucho dinero, está bien, espérame aquí.
El niño llega a la habitación, coge el frasquito y lee:
- Via...gra, estas son - y le lleva la pastilla al abuelo.
Al día siguiente, el chiquillo se levanta muy temprano y va a saludar al abuelo.
- Buenos días, abuelo. ¿Cómo dormiste?
- Muy bien, hijo (con una sonrisa de oreja a oreja), y le entrega 100 euros.
El chico, extrañado dice:
- Abuelo, te confundes tú me ofreciste sólo 10 euros.
- Sí, 10 que te doy yo y 90 que te manda tu abuela! cagado",1
"- Ay va António! Cómo hace usted para conservarse tan joven.
- Pues mira no discutiendo con nadie.
- ¿Por eso no será?
- Bueno, pues no será por eso. costa enganche 24/7",1
cómo porrrrr me gusta puro vato menso ³,0
"-Amor, ¿me hace gorda esta remera? -No, es la comida lo que te hace gorda ojeras apoyan",1
"- Manolo, me dijeron que te casaste.
- Sí, sí, ya ves.
- ¿Y qué tal eso del matrimonio?
- Pues al principio bien, pero en cuanto sales de la iglesia... mierdaJAJAJSKSJA",1
Que no me caiga bien el feminísmo no quiere decir que sea machista. Debemos mantener un equilibrio. Cariño Gangnam foca,0
"Me preocupa la autoestima de mi perro, con tanto perro llamado Zeus, Odin, Asesino o Stardust; llamarse ""Chiki"" debe ser complicado. boludear ☺ chau",1
"Un camillero mientras lleva al paciente camino del quirófano:
- Pero ¿por qué tiembla usted tanto?
- Es que he oído que la enfermera decía que la operación de apendicitis es muy sencilla y que no había por qué estar nervioso y que todo iba a salir bien.
- Pues claro, todo eso se lo dijo para tranquilizarle porque es verdad.
- No, no, si es que no me lo decía a mi, sino al cirujano! mg extrañando",1
"- ¡El año próximo será de gran consumismo.
- Pero ¡si la crisis nos está matando a todos!
- Por eso. El año que viene todos seguirán ""con su mismo""
sueldo, ""con su mismo"" coche, ""con su mismo"" traje... temporadas 😬",1
"Conociendo a mis suegros...

-¿De qué laburás?
-Entregas.
-¿Entregas de qué?
-Entregas de currículum. sono",1
"Tienes cara de que me vas a chingar la vida y me vas a hacer llorar un chingo y por supuesto que yo jalo, cómo de que no. Nemo",0
"te digo la posta? no sé q es lo q me hiciste pero no puedo dejar de pensarte un segundo, te instalaste en mi cabeza y d ahí no saliste jamás escoba",0
"-Eres tan fea, que si alguien te está guiñando un ojo, -Es porque es un francotirador. ultimamente nocturno",1
Qué vergüenza me hacéis pasar cuando enseño vuestros tuits en el bar y me dicen que sí soy gilipollas por reírme con semejantes tonterías... 2acto,0
"Pepito llora desconsoladamente en el autobús. Un
pasajero se enternece:
- ¿Por qué lloras pequeño?
- ¡Es que se me ha perdido mi pelotita!
- No te preocupes. Yo te la busco...
Al cabo de un rato todos los pasajeros del autobús se solidarizan y empiezan a buscar la pelota sin resultados. Después de 3 horas:
- Lo siento pequeño, hemos buscado por todos Iados y no Ia hemos encontrado.
- Bueno, da igual.
Pepito se mete el dedo en la nariz mientras dice:
- Ya me hago otra... zapato gané",0
"Se encuentra el paciente tendido en la cama. Su médico, abogado, esposa, y sus hijos están esperando el suspiro final, cuando de repente el paciente se sienta, mira a su alrededor y dice:
- Asesinos, ladrones, mal agradecidos, y se vuelve acostar.
El doctor un poco confundido dice:
- Yo creo que está mejorando.
- ¿Por qué lo dice, doctor? - pregunta la esposa.
- Porque nos ha reconocido a todos. necesites",1
"Era tan pobre que su celular no tenía ""modo avión"" sino ""modo autobús"" mostrar jajajajajajaj denle",1
están de rojo y negro otra vez agarrense la peluca que algo va a pasar capitán,0
Quince de cada diez personas me cae mal. gluglu flojo,0
Todos los machucones que tengo en mis piernas ni se imaginan Jaimito,0
"Un borracho llega a las seis de la mañana a su casa. Su esposa que los está esperando lo recibe regañándolo:
- ¡Mira como vienes hecho un asco! ¿Has visto que hora es? Son las seis de la mañana.
¡No he dormido nada esperándote!.
El borracho contesta:
- ¿Y tu qué crees? ¿Que yo he dormido mucho o qué? mmm Pafuera",0
