text,score
"Temores de antes:
—La llorona.
—La brujas 
—El coco. 

Temores ahora:
—Abrir un vídeo de gemidos frente a toda tu familia. DIRECTO",4
"Aprender es como remar contra corriente: en cuanto se deja, se retrocede.Edward Benjamin Britten trapecista",0
ME ENOJO CUANDO no le ponen queso a las quesadillas policía,0
"Cuando la gente NO sigue ""reglas"" entonces hay que darle ""ordenes"".#GretchenCuotes impact",0
QUIERO GANAR NEGRO PLS #JoelVerdugoDeLeopoldo ego,0
"Un ciego le pregunta a un cojo:
- ¿Qué tal andas?
Y el cojo le contesta:
- Pues ya ves. estarme",2
Dejen de bardear a pepo les voy a dar un palazo reservas,0
"hola ma? t acordas cuando me ibas a buscar a la escuela, a las casas de mis amigos y eso?. Me venis a buscar a la comisaria? #XD #JAJAJA #RT curaría",2
En vivo @splendid1040 en charla con el presidente de @DCuencaOficial Claudio Peñaherrera cayo,0
"alv hoy no iré a la facu, soy más mocos que persona duelo",0
Insomnio la recalcada concha de tu vieja realidad,0
Esto no puede seguir así. 5xy²,0
"¿Qué es blando, y en las manos de una mujer se torna duro? El esmalte de uñas... darlos",2
El amor eterno dura aproximadamente 3 meses. meme,0
"bueno ana, ya te conseguiste garche seguro, ahre atender",0
SI AMAS LA JUSTICIA...SIGUE A:: @todosconpedrito FF♥ despreocupado,0
DE QUE SIRVE VER SI NO VAS A COMER Bajé,0
"*En AA (Alzheimers Anónimos)*
-Hola, me llamo Luis.
-Hola, Luis
-Hola, me llamo Luis.
-Hola, Luis.
-Hola me llamo Luis.
-Hola, Luis.
-Hola m Eras",1
"Los hombres con carro automático tienen la ventaja de usar la mano derecha para lo que sea, pintarse las uñas o maquillarse por ejemplo. semen",4
"A veces, cuando dos heridas se juntan, sanan. dibujitos",0
"—Mi amor, te amo. Entonces te dejo ir.
—Per…
—Si amas a alguien, déjalo ir
—Pero te am…
—Bye. 🦜",3
"—¡Mira, hijo tengo un Pokémon! 

—JAJAJÁ ya abuelo,  guarda tu pene.  

—¡VERGACHU, YO TE ELIJO! 3056",1
"La palabra: depresión, viene del latín: ""domingo por la noche"". Ledo",2
El vecino ya empezó a escuchar unas cumbias bien chingonas. Ojalá no venga a pedirme que le baje el volumen. desayunar,0
"Lo tuyo no es amor, es turismo emocional. cardiaco",0
"Que cansada estoy de que se subestimen los logros que se consiguen sin pasar por tragedias, sufrimiento y condiciones adversas derechito",0
"La ex novia de Jaimito se quería lanzar desde un edificio, él le dice: ""ten cuidado porque las gatas son las que caen paradas no las perras ladillada",1
Medellín recibiendome con tacos. tendrás,0
"#MeHariaFeliz que hubiera un día entre el sábado y el domingo y 6 meses de vacaciones, dos veces al año. 1903",1
"1 vieja se ve la cuca en el espejo y dice gracias a ti tngo casa, carro y dinero en eso se le sale un pedo y dice yo se tu tambien ayudastes OldSpiceLA",1
"Jab - jab - gancho - zape. 

—La técnica de McGregor.

#MayweatherVsMcGregor Sé",0
Las niñas buenas van al cielo... Las malas me hacen una filita por favor. agarraré,2
"Veo quince lanchas ..
¿una flota ?
No , flotan todas. #chistes #humor #MexicoNoHueleAMiedo",4
"Dicen que soy súper hacker y NO, cuando era chiquita era TURBO hacker.🤓 Roque",0
"-Porque estás triste? 
-Se me pasó el colectivo..
-No te pongas mal, son cosas que pasan... broncas",3
"Espero nunca decir ""como digo yo siempre..."". líderes",0
"Puta que se respeta, tiene al amante guardado con el nombre de alguna amiga. chicos",0
#EsDeMORENAzis comer y masticar como pinche vaca canguro,0
"Quiero helado, no importa cuando leas esto. Aaah",0
3 manos en el área y 0 penaltis en contra en una semana. No me ayudan los árbitros... sucesor,0
"TIPICO: Te pones los audifonos, te hablan, y tu solo sonries y dices que ""si"". Humm",0
el nacional y el mundial no pido más que eso este año🦁🇦🇷 💙⚽! cardiaco,0
