step,train_loss,loss,accuracy,macro_f1,weighted_f1
500,1.5416,1.459285855293274,0.3490909090909091,0.16701707762756363,0.2699588169540271
1000,1.4443,1.4176411628723145,0.39345454545454545,0.1398768188086301,0.24175277525897448
1500,1.3986,1.4884753227233887,0.24654545454545454,0.17381649957636586,0.18530941243248136
2000,1.3973,1.4811830520629883,0.23636363636363636,0.15694312076721476,0.18271052829148107
2500,1.3691,1.435030221939087,0.31563636363636366,0.24385509869131566,0.30056535943700097
3000,1.3404,1.505458950996399,0.2923636363636364,0.2588305395103974,0.2811681676926688
3500,1.3234,1.4589967727661133,0.33236363636363636,0.2945942665033825,0.33116140609397815
4000,1.309,1.4522892236709595,0.3229090909090909,0.27737598489106857,0.319100851584623
4500,1.3012,1.4903572797775269,0.32072727272727275,0.2840320553508515,0.3164894304183873
5000,1.2657,1.4873992204666138,0.3461818181818182,0.30382424522047435,0.3472462009706107
5500,1.2858,1.4947142601013184,0.344,0.2976495293902973,0.3438518199966823
6000,1.2972,1.4486052989959717,0.3527272727272727,0.2748735092210363,0.31253473759763045
6500,1.2807,1.5072559118270874,0.3229090909090909,0.28354749258643885,0.32271156975356496
